mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__gamma,param_clf__learning_rate,param_clf__max_depth,param_clf__min_child_weight,param_clf__subsample,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.1452882289886475,0.03340598438958641,0.0412353515625,0.0007112451742666942,0.705051979426657,3.6386287158866253,0.2387586688716479,5,7,0.7070593162427692,69,"OrderedDict({'clf__colsample_bytree': 0.705051979426657, 'clf__gamma': 3.6386287158866253, 'clf__learning_rate': 0.2387586688716479, 'clf__max_depth': 5, 'clf__min_child_weight': 7, 'clf__subsample': 0.7070593162427692, 'select__k': 69})",0.9181464996311787,0.918753703988235,0.915031424453273,0.9523347015225678,0.9128474432420963,0.9234227545674702,0.014613632039384256,37
2.0405272960662844,0.01949416139653954,0.042756843566894534,0.0014399594112195992,0.9186941777766422,4.416576386904311,0.02806554771929606,10,9,0.5311564704220357,39,"OrderedDict({'clf__colsample_bytree': 0.9186941777766422, 'clf__gamma': 4.416576386904311, 'clf__learning_rate': 0.02806554771929606, 'clf__max_depth': 10, 'clf__min_child_weight': 9, 'clf__subsample': 0.5311564704220357, 'select__k': 39})",0.9301836258048614,0.9529364852901366,0.9273396401735479,0.9598066975423809,0.945058422411964,0.943064974244578,0.01260889475068873,27
1.950670051574707,0.014077552194236367,0.039943504333496097,0.0017577928826153025,0.7224162561505759,4.593612608346885,0.014285310742471472,6,3,0.7268326719031495,42,"OrderedDict({'clf__colsample_bytree': 0.7224162561505759, 'clf__gamma': 4.593612608346885, 'clf__learning_rate': 0.014285310742471472, 'clf__max_depth': 6, 'clf__min_child_weight': 3, 'clf__subsample': 0.7268326719031495, 'select__k': 42})",0.9415842822638946,0.9571105599332733,0.9548204891825252,0.9649355780416603,0.9411861542176079,0.9519274127277922,0.009239071959188896,19
4.494565057754516,0.03309514607173152,0.061937475204467775,0.0023264560992359725,0.9061979941786817,0.8593578069828035,0.07645185888630145,9,6,0.5477275196074968,126,"OrderedDict({'clf__colsample_bytree': 0.9061979941786817, 'clf__gamma': 0.8593578069828035, 'clf__learning_rate': 0.07645185888630145, 'clf__max_depth': 9, 'clf__min_child_weight': 6, 'clf__subsample': 0.5477275196074968, 'select__k': 126})",0.9326504058260892,0.9384442883586851,0.9265256773268362,0.9523347015225678,0.9270561250246931,0.9354022396117744,0.009507743189865484,36
3.0364277839660643,0.03316606656189511,0.048842000961303714,0.0016740766896624311,0.8997767208035865,2.190145932204617,0.05996280567850356,8,9,0.8585155755799185,79,"OrderedDict({'clf__colsample_bytree': 0.8997767208035865, 'clf__gamma': 2.190145932204617, 'clf__learning_rate': 0.05996280567850356, 'clf__max_depth': 8, 'clf__min_child_weight': 9, 'clf__subsample': 0.8585155755799185, 'select__k': 79})",0.9367865392173875,0.9431305193997528,0.9340854715862947,0.9566496191751356,0.9347750535935088,0.9410854405944159,0.00841102972861067,29
2.0713193893432615,0.013471761337257972,0.043754053115844724,0.0010784281872194975,0.8670140089927842,4.6968486880138585,0.017444866126918635,4,8,0.6862898889916289,84,"OrderedDict({'clf__colsample_bytree': 0.8670140089927842, 'clf__gamma': 4.6968486880138585, 'clf__learning_rate': 0.017444866126918635, 'clf__max_depth': 4, 'clf__min_child_weight': 8, 'clf__subsample': 0.6862898889916289, 'select__k': 84})",0.9431214976537077,0.9620181157034469,0.9614876680055898,0.9615937575451612,0.9477472435011012,0.9551936564818014,0.008103520264682066,11
4.031489372253418,0.03602197352265688,0.06037039756774902,0.0027459797902593176,0.8085396792511581,3.876821894139413,0.03390942329293072,9,6,0.7973100175434192,111,"OrderedDict({'clf__colsample_bytree': 0.8085396792511581, 'clf__gamma': 3.876821894139413, 'clf__learning_rate': 0.03390942329293072, 'clf__max_depth': 9, 'clf__min_child_weight': 6, 'clf__subsample': 0.7973100175434192, 'select__k': 111})",0.9338433266640954,0.9399917323324334,0.9362694527974714,0.9505311793498541,0.9366407661859713,0.9394552914659651,0.005874152376820241,30
3.2993117332458497,0.03994708854878605,0.05236682891845703,0.0027946662111363245,0.7717015338451563,4.600046132186582,0.05411797281355388,9,4,0.5255672768385259,100,"OrderedDict({'clf__colsample_bytree': 0.7717015338451563, 'clf__gamma': 4.600046132186582, 'clf__learning_rate': 0.05411797281355388, 'clf__max_depth': 9, 'clf__min_child_weight': 4, 'clf__subsample': 0.5255672768385259, 'select__k': 100})",0.9311653098252406,0.92886879284737,0.9309466845189754,0.958886645156098,0.9345098297445803,0.9368754524184528,0.01115303896789396,34
1.2166952610015869,0.0049902581902283175,0.036716794967651366,0.00019734034693970885,0.9777389931549642,3.50310722310683,0.1938811514231446,6,4,0.6057071436370981,20,"OrderedDict({'clf__colsample_bytree': 0.9777389931549642, 'clf__gamma': 3.50310722310683, 'clf__learning_rate': 0.1938811514231446, 'clf__max_depth': 6, 'clf__min_child_weight': 4, 'clf__subsample': 0.6057071436370981, 'select__k': 20})",0.8996116185768218,0.9354737812506859,0.8943951798766434,0.9246782560342999,0.9118487382661311,0.9132015148009163,0.015283736186981438,40
1.8427315711975099,0.03178053839210142,0.039485502243041995,0.001598321604424607,0.5018151536273716,4.089150098318758,0.12444128798312445,5,6,0.6373574244177087,64,"OrderedDict({'clf__colsample_bytree': 0.5018151536273716, 'clf__gamma': 4.089150098318758, 'clf__learning_rate': 0.12444128798312445, 'clf__max_depth': 5, 'clf__min_child_weight': 6, 'clf__subsample': 0.6373574244177087, 'select__k': 64})",0.9245363367182322,0.9451023215317866,0.9298327443534757,0.9576135706812412,0.9365877214161856,0.9387345389401842,0.01168251867787503,31
