mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__gamma,param_clf__learning_rate,param_clf__max_depth,param_clf__min_child_weight,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.676094245910645,0.15629667618018467,0.02920246124267578,0.0013978073376698236,0.705051979426657,3.6386287158866253,0.2387586688716479,5,7,0.7070593162427692,"OrderedDict({'clf__colsample_bytree': 0.705051979426657, 'clf__gamma': 3.6386287158866253, 'clf__learning_rate': 0.2387586688716479, 'clf__max_depth': 5, 'clf__min_child_weight': 7, 'clf__subsample': 0.7070593162427692})",0.9161049525069733,0.9305662254805125,0.9146601110647732,0.9362072623777227,0.9129535327816678,0.9220984168423298,0.009440786169986361,39
6.8450037956237795,0.0587305152421295,0.03560056686401367,0.0026885462541287016,0.9186941777766422,4.416576386904311,0.02806554771929606,10,9,0.5311564704220357,"OrderedDict({'clf__colsample_bytree': 0.9186941777766422, 'clf__gamma': 4.416576386904311, 'clf__learning_rate': 0.02806554771929606, 'clf__max_depth': 10, 'clf__min_child_weight': 9, 'clf__subsample': 0.5311564704220357})",0.9326764655205715,0.9556417685492073,0.9231838568303372,0.9489928810260688,0.9444127395245725,0.9409815422901513,0.011632788183792575,29
6.202340173721313,0.04916724385198427,0.030091047286987305,0.0011582048987927903,0.7224162561505759,4.593612608346885,0.014285310742471472,6,3,0.7268326719031495,"OrderedDict({'clf__colsample_bytree': 0.7224162561505759, 'clf__gamma': 4.593612608346885, 'clf__learning_rate': 0.014285310742471472, 'clf__max_depth': 6, 'clf__min_child_weight': 3, 'clf__subsample': 0.7268326719031495})",0.937872462015696,0.9592323507247014,0.9412922437571793,0.9625833168711634,0.9485776685177463,0.9499116083772974,0.00967948677544123,24
6.879927301406861,0.11375602684892414,0.036699438095092775,0.0013775648447353404,0.9061979941786817,0.8593578069828035,0.07645185888630145,9,6,0.5477275196074968,"OrderedDict({'clf__colsample_bytree': 0.9061979941786817, 'clf__gamma': 0.8593578069828035, 'clf__learning_rate': 0.07645185888630145, 'clf__max_depth': 9, 'clf__min_child_weight': 6, 'clf__subsample': 0.5477275196074968})",0.9296011149870222,0.9356768146798656,0.9172684504342354,0.9402039114115761,0.9327502066916892,0.9311000996408776,0.007747387138276293,35
6.657025718688965,0.16186870615413082,0.0346926212310791,0.0018784376305453043,0.8997767208035865,2.190145932204617,0.05996280567850356,8,9,0.8585155755799185,"OrderedDict({'clf__colsample_bytree': 0.8997767208035865, 'clf__gamma': 2.190145932204617, 'clf__learning_rate': 0.05996280567850356, 'clf__max_depth': 8, 'clf__min_child_weight': 9, 'clf__subsample': 0.8585155755799185})",0.9291237627010351,0.9491959144552484,0.9256769610102651,0.9571270221032069,0.9402039114115761,0.9402655143362664,0.011840868236973176,30
5.470750999450684,0.04563613766817857,0.024487113952636717,0.001597320274012481,0.8670140089927842,4.6968486880138585,0.017444866126918635,4,8,0.6862898889916289,"OrderedDict({'clf__colsample_bytree': 0.8670140089927842, 'clf__gamma': 4.6968486880138585, 'clf__learning_rate': 0.017444866126918635, 'clf__max_depth': 4, 'clf__min_child_weight': 8, 'clf__subsample': 0.6862898889916289})",0.9357239168517928,0.9646794998426949,0.9599932688016272,0.9589854181756989,0.9485429150478866,0.95358500374394,0.010370720940776623,18
6.930260562896729,0.06492968229041803,0.03564095497131348,0.0017775724421673423,0.8085396792511581,3.876821894139413,0.03390942329293072,9,6,0.7973100175434192,"OrderedDict({'clf__colsample_bytree': 0.8085396792511581, 'clf__gamma': 3.876821894139413, 'clf__learning_rate': 0.03390942329293072, 'clf__max_depth': 9, 'clf__min_child_weight': 6, 'clf__subsample': 0.7973100175434192})",0.9310061923965782,0.9537760559567448,0.9275957183725133,0.9588336003863123,0.9424409373925386,0.9427305009009374,0.012230445606274759,27
6.427382230758667,0.10028765143244213,0.03486557006835937,0.0016186990740047326,0.7717015338451563,4.600046132186582,0.05411797281355388,9,4,0.5255672768385259,"OrderedDict({'clf__colsample_bytree': 0.7717015338451563, 'clf__gamma': 4.600046132186582, 'clf__learning_rate': 0.05411797281355388, 'clf__max_depth': 9, 'clf__min_child_weight': 4, 'clf__subsample': 0.5255672768385259})",0.9255440804330937,0.9370120795744712,0.9078520892322776,0.9426000717018956,0.9404160904907191,0.9306848822864915,0.012841073629509809,36
5.879980087280273,0.17014872471025,0.0319005012512207,0.0019684675375824354,0.9777389931549642,3.50310722310683,0.1938811514231446,6,4,0.6057071436370981,"OrderedDict({'clf__colsample_bytree': 0.9777389931549642, 'clf__gamma': 3.50310722310683, 'clf__learning_rate': 0.1938811514231446, 'clf__max_depth': 6, 'clf__min_child_weight': 4, 'clf__subsample': 0.6057071436370981})",0.924987629309737,0.9254556362811592,0.918594569678878,0.9330154305406178,0.9155088273813443,0.9235124186383473,0.006074574683783871,38
5.571388387680054,0.058400423308581716,0.029952430725097658,0.0012833961482441973,0.5018151536273716,4.089150098318758,0.12444128798312445,5,6,0.6373574244177087,"OrderedDict({'clf__colsample_bytree': 0.5018151536273716, 'clf__gamma': 4.089150098318758, 'clf__learning_rate': 0.12444128798312445, 'clf__max_depth': 5, 'clf__min_child_weight': 6, 'clf__subsample': 0.6373574244177087})",0.928858566986598,0.945897993078572,0.9275426736027276,0.9541473693452447,0.937224258653614,0.9387341723333511,0.01013848148313866,32
